Id,Source,Topic,PashtoText,EnglishtTranslation,AnnotatorOne,AnnotatorTwo
344,,,ته چيرته يي هلک,where are you?,Positive,Positive
345,,,باډی دی ختمه سوی ده,The body is gone,Negative,Negative
346,,,خوښ اوسی,be happy,Positive,Positive
347,,,جالبه وه😄,Interesting,Positive,Positive
348,,,دری وران سړی یی یار,You are very crazy,Positive,Positive
349,,,مخ دی د سړی ندی 😡,your face is not human bieng,Negative,Negative
350,,,جارجار لہ کہ د مار 🐍,"good, Like a snake",Positive,Positive
351,,,لکه د 35 کالو یی,you look like 35 years,Positive,Positive
352,,,هههههههه خداي دي غم مه راکوه ورورجانه,be happy forever,Positive,Positive
353,https://www.facebook.com/1008363605875198/posts/3911544618890401,د وچی خان 🤣🤣🤣🤣🤣,دیر خه منننه یاره  له تاسره خبری کول غوارم,"very good , I want to talk with you",Positive,Positive
354,,,استغفرالله ووايه ته خلک خندوى عذاب نه ىى خبر ىى دځان دشمنه,"Astaghfirullah, say that people laugh,you are not aware of its punishment? , it is an enemy of oneself",Negative,Negative
355,,,په زړه پوری,awesome,Positive,Positive
356,,,هههههههه ښکلی په'زړه پورې وډيوو مننننه,Hahahaha beautiful thanks for the interesting video,Positive,Positive
357,,,مړه ځان دى شرمولى الله ج ته به سه جواب ورکي,"The dead are ashamed of themselves, they will give three answers to Allah",Negative,Negative
358,,,نامی الک یے🙈,"You are just a boy on name, looking girl",Negative,Negative
359,,,ډيره جالبه وه ګرانه,"It was very interesting, dear",Positive,Positive
360,,,ھھھھ منم دی پیرہ,"ahahaha, I support you",Positive,Positive
361,,,مسعود ورور جانہ ڈیر کوشش می وکڑ چی رابطہ درسرہ وکڑم یوار خو میسج راسرہ وکڑہ,"I tried very much but succuss, please message me",Positive,Positive
362,,,ښلکي ويډو خو ډير خنداه مه خوله به دي کاږه شي,"very good video, My mouth is fill out from laugh",Positive,Positive
363,,,استغفرالله ووايه ته خلک خندوى عذاب نه ىى خبر ىى دځان دشمنه,"Say Istaghfarullah, people laugh, do not know the torment, you are enemy of yourself",Negative,Negative
364,,,مړه ځان دى شرمولى الله ج ته به سه جواب ورکي,"You ashamed of yourself,  what will you answer to Almighy Allah?",Negative,Negative
365,,,تادی قران اوی چی رختیا اوایه هههههه,"Swear, You will tell the truth, hahaha",Negative,Negative
366,,,نامی الک یے🙈,you look Like a girl,Negative,Negative
367,,,زبردست جيګره ډير شه مطلب,"Good, very good message",Positive,Positive
368,https://www.facebook.com/100044232199523/videos/426385471575465,"و افغاني هلک دي اوسيږي دلته اروپا کي .
سندره دوستانو سره شير کړي ستاسو د ورور شعر دي
په کمنټ کي يو يو شعر وليکي .",ګوروان صېب دا جینۍ خو به پۀ تا مئینه نۀ وي.,"Mr. Gurwan, this girl will not be in love with you.",Positive,Positive
369,,,دا سوک چی دومر نره ده,who is this brave,Positive,Positive
370,,,دا لا بل شرم,This is a shame,Negative,Negative
371,,,مزی کوه مزی افغانی هلکه,Have fun Afghani boy,Positive,Positive
372,,,بسیار زیبا,very beautiful,Positive,Positive
373,,,واه ګوروان صیب منم دي,"Wow Mr. Gurwan, I agree with you.",Positive,Positive
374,,,داد لا بل شرم,Shame on you,Negative,Negative
375,,,ډیر شایسته سندره,Very beautiful song,Positive,Positive
376,,,ولا دی ‌‌‌‌‌‌ډمانونه هم شیرونه غلت شوی نور .,"poetry is wrong , bad",Negative,Negative
377,,,وه الکه ته خو به نه خای ګوره خه چانس دی,"Oh God, you won't be able to look at it, it's a good chance.",Negative,Negative
378,,,ما په نظر دا تا يادي,"I think , they miss you ",Positive,Positive
379,,,نو دا سنګه سندره ده يو وار دې جيني ته اشاره کړي وه اوس هلک ته فرمان کسکر شاعرې ده,What kind of song is this? This girl was once referred to. Now Farman Kaskar is poetic for the boy.,Negative,Negative
380,,,يو پېره وولې یو افغانۍ جينۍ ده هلته اوسيږي اوروپا کې هههههههه,One said there is an Afghan girl who lives there in Europe hahaha,Negative,Negative
381,,,دا اوس ډمه ده فنکاره کله هم داسې غزل نه الټه کوي,This is a cunnig now. An artist never chang such a song.,Negative,Negative
382,,,مړه ستا له شعره کميس ايستلى,The took off the shirt from your poem,Negative,Negative
383,,,نقل كي هو پاكستان تکړه دی,Pakistani makes copy of every things,Negative,Negative
384,,,دیر وران یی,You are so spoiled.,Positive,Positive
385,,,مړه دی سندره نه یی راته زړه تور کړله,", he made me sick of the song.",Negative,Negative
386,,,"دغه سی بله ټوکی نه وو
چی ویلی وو","This  was no other joke
Who said it",Negative,Negative
387,,,هههههه اوس مونږه پوي شو چي ته په دلراج مين وي. مونږه فکر کاوه چي دا به سوک وي چي ګوروان صيب پري مین شوي,Hahahaha now we know that you are in love with Dilraj. We thought it would be someone who fell in love with Mr. Gurwan.,Positive,Positive
388,,,ههههه مینه دی ښکاره شوه,Hahahaha your love has been shown,Positive,Positive
389,https://www.facebook.com/100044232199523/videos/256239602595390,دښځی غلام ,اواز دې بد لګيږي راباندې معاف که نور,I hate the voice of her. Forgive me.,Negative,Negative
390,,The slave of wife,الله دى ونازوه,May Allah make you proud.,Positive,Positive
391,,,خوندور اوه وروره ډير ښه قربان,Delicious oh brother very good sacrifice,Positive,Positive
392,,,دا صرف پہ اٶروپا کے داسی کیگی ھاھاھا,this haphened in Europe ,Positive,Positive
393,,,تل دي ښلکو په خوله مسکه راوستي ژوندي اوسي,You spreading love and smile,Positive,Positive
394,,,ډيره له خوند نه ډکه,So full of fun,Positive,Positive
395,,,وی رختیا دا دیتا نیا لا تر اوسه حج نہ دی کړی؟,Wee Rakhtia this grandmother hasn't done Hajj yet? ,Negative,Positive
396,,,داپه مسلمان فرص اوحق ده چی له ښځی سره مرسته اوکومک وکړی,It is the right of Muslims to help women.,Positive,Positive
397,,,ههههه تره بچیا حو سخت وشرمیدو,"cousin is ashamed , ahaha",Negative,Negative
398,,,یاره افغانانو لپاره دی ته ټول عمر ژوندی وی ګرانه,"Dear friend, may you live long for Afghans.",Positive,Positive
399,,,"که تاسو هلکان ناز غواړو, خانی مفت دودی غواړو, خپل مور سره کینو واده مه که و کنه د خلک لور تاسو کور ملکه ده نوکړ نه لکه افغانستان کی چی ورنه د تول قبله خدمت غواړی یو خاوند خو پریږده","If you guys want to be cute, to sit with your mother for free, don't marry or else, the daughter of people is the queen of your house, don't do it like you want to serve the whole Qibla in Afghanistan. Leave a husband.",Positive,Positive
400,,,ستاخزه وغیمه ستا خور وغیمه,I fuck your wife and your sister.,Negative,Negative
401,,,ډیر خکلی,very beautiful,Positive,Positive
402,,,"بچاى ښځي ته څوک دټپنګې دي
ښځي غلام په اسلام کې دننه","Anyone can't control yourself for womens , slave of women acordingly ",Negative,Negative
403,,,ﺳﺨﺖ ﺧﻮﻧﺪی ﻭﮐﻮﻭ,very funy,Positive,Positive
404,,,"ښځه بلاد ده که حیا
ستا په نیا باندی حج","Is a woman a respect or a shame?
Hajj on your grandmother",Negative,Negative
405,,,ځان دی شرمولی,You have ashamed yourself.,Negative,Negative
406,,,ددى نو څه مقصد شو,What is the purpose of this?,Positive,Positive
407,,,خقيقت ده نن سبا زوانان داکوي,The truth is that young people are doing this nowadays.,Negative,Negative
408,,,مسود خانه تول عمر زوندې اووسې وروره,May you live long my brother Masood Khan.,Positive,Positive
409,,,الله پاک دی تل کامیاب لره وروره,May Allah always give you success brother.,Positive,Positive
410,https://www.facebook.com/100044232199523/videos/739924453586926,"د خپلو ښځو قدر وکړی
کنه ما غوندی به لوخی وینځی.
😞",ښه شړک خو دي ورنه جګ کړهههه,You didn't raise a good trap.,Positive,Positive
411,,Give time to you wife other you will washing the pots ,ته خو ټول عمر مجرد يي ګرانه او ويډګاني مطلبي جوړوي,You are single all your life dear and you are making videos good.,Positive,Positive
412,,,ښایسته موضوع ته مو اشاره کړي کاميابی مو غواړم,You have pointed out a beautiful topic. I wish you success.,Positive,Positive
413,,,دیما دی هم سترګی خلاصی کړی!صبر زه می هم ښځه راولم,May you always open your eyes too! Patience I also bring my wife,Positive,Positive
414,,,"له خپلو ميرمنو سره مرسته کول نه شرم او نه هم کومه ګناه ده، بلکه ثواب لري  ","Helping your wives is not a shame nor a sin, but it is a reward  ",Positive,Positive
415,,,نه انجلی به دومره بی رحمه نوی انجلی دیر پاک زره لری بارحمه وی نه پوهیژم خو زه داسی فکر کوم,"No girl is so cruel, she has pure heart and mercy, I don't understand but I think so.",Positive,Positive
416,,,سور حقیقت دي الله تعالی دی ژوندي لره د مرګي هیر شي مسعود لالا,It is a red truth. May Allah keep you alive. May you forget death. Masoud Lala,Positive,Positive
417,,,"ه وړو وړو خـبـرو به زړه نه خــــوري!!
ســتا په مـخڪې خو لا ډېره زنده گي ده!!","You won't be able to eat with small things.
There is a lot of life in front of you!!",Positive,Positive
418,,,هسی دی خبره کی وزن شته خاه,"There is a weight in this thing, right?",Positive,Positive
419,,,بیشکه مسعود جانه زموږ فکر د هم بدل کړو,"No doubt dear Masoud, you have changed our thoughts too.",Positive,Positive
420,,,هه وایی گرانه,You are right,Positive,Positive
421,,,واوا مسد کوروال ژوندی اوسی,may you live long,Positive,Positive
422,,,دا ښځي نه يي هغه مړونه يي,"those are not wives, those are husbands.",Negative,Negative
423,,,لکه چی ارمان ی درغی,It seems that you are wishing ,Positive,Positive
424,,,ښایسته موضوع ته مو اشاره کړي کاميابی مو غواړم,You have pointed out a beautiful topic. I wish you success.,Positive,Positive
425,,,ستا خوهر وخت له دی ښځه نالښت دی هههههه,Your good time is unseen from this woman hahaha,Negative,Negative
426,,,خايسته,beautiful,Positive,Positive
427,https://www.facebook.com/100044232199523/videos/3999469336766303,Girls in Ramadan,"مسعود ګل حاجي په دې حقه روژه کې دې دومره وخندولم
تا خو يي هسې هم د شپې نيسې موږ به خراب کړي","Masoud Gul Haji you made me laugh so much in this right fasting. You are taking it at night, it will spoil us.",Negative,Negative
428,,,"کندهار خلک دا کار نه کوي، بلکې دا کار په حقيقت کې د پنجشير خلک کوي بنسټ یې پنجشيريانو ايښی دی. تاريخ بايد مطلع شي.","People of Kandahar do not do this, but in fact it is done by the people of Panjshir and the foundation of Panjshiris. History should be made known.",Negative,Negative
429,,,ته (خوست) ته راشه چى کنداهاريان درنه هير کړي,Come to Khost so that the Kandaharis will forget you.,Positive,Positive
430,,,سلامونه ولی وروره زما قندهار داسی څه کړی,"Greetings brother, why did my Kandahar do something like this.",Positive,Positive
431,,,مسعدګل حاجی ډیره جالیبه وه,Masad Gul Haji was very interesting.,Positive,Positive
432,,, کندهار زنداباد  , Long live Kandahar  ,Positive,Positive
433,,,وروره دي روژه ته وګوره اوستا دي مست بګروانډ ته,"Brother, look at this fasting and you are going to be acting",Negative,Negative
434,,,قندهاری ماما ته په لاس مه شی ور,Don't give it to uncle Kandahari,Positive,Positive
435,,,نه ټول کندهاریان هم داسی نه دی,"No, all Kandaharis are not like this.",Negative,Positive
436,,,وروره دیر خه ویدیو گانی جوریی خو دملت سپکاوی خه ندی مننه,"Brother, very good videos, but insulting the nation is not good. Thanks",Positive,Positive
437,,,کندهارېان که هر سه کوۍ شه کوۍ لکن تا سود اسلام رنگ ورته بدکريدى1,"Whatever the Kandahar people do, but you have a bad color of Islam.",Negative,Negative
438,,,کندهاريان دى څه پر مور درختلي دي؟,did Kandahari fuck you mother?,Negative,Negative
439,,,ولی بی پدره بل رکم ټوکی دی ازده ندی چی اوس تا غوندی سپی هم پر کندهاریانو ټوکی کوی ؟,Why is it not a joke without a father that a dog like you is making fun of Kandaharis now?,Negative,Negative
440,,,جار سم له قندهاره د سر تاج مي دي ااأاااخ هههه,I love you from Kandahar. I have the crown of my head. Ohhhh hahaha,Positive,Positive
441,,,ډیرې خې ویډیوې جوړه وې خوداسازدې یاخوند ورسره کی ساروکای,"Very good videos were made, self-educated or khund ki sarokai.",Positive,Positive
442,,,مسعدګل حاجی ډیره جالیبه وه,Masad Gul Haji was very interesting.,Positive,Positive
443,,,ټوله لیونی یی دا یوه ټوکه وه تاسی وایی چی دافغان سپکاوی کوی وړاندی تاسو خپل سپکاوی کوی چی داکار پنجشیریان کوی نودادیو افغان سپکاوی نده,"You are all crazy, this was a joke. You say that you are insulting Afghans. You are insulting yourself. The Panjshiris are doing this is not insulting.",Negative,Negative
444,,,کندهاری دی خوری ګوره ځان ساته,"Kandahari will eat you , so take care of yourself",Negative,Negative
445,,,يوه قوم پسی خانده نه دا پکار ټول يوه افغانستان يو  ,"Don't laugh at one nation, we are all one Afghanistan 🇦🇫",Negative,Negative
446,,,والکه موږ ته يي مخامخ روژه په ختميدو ده,We are going to end the fasting in front of us.,Positive,Positive
447,,,واه زما زرگیه دیره. خایسته ویدیو دی جوره کری وه,"Wow, my heart is very much. You made a nice video.",Positive,Positive
448,,,ستر خر یې نو څه یې کوی,"You are a big donkey, what are you doing?",Negative,Negative
449,,,ماشاءاللہ ڈیر خایستہ وڈیو دہ گران,"MashaAllah, very nice video.",Positive,Positive
450,,,خايسته,beautiful,Positive,Positive
451,https://www.facebook.com/107862043959203/posts/462095115202559/,محمدنبي د پاکستان سوپرليګ کې د لوبېدلو په موخه کراچۍ ته روان شوی دی. #RTASport,بايد کرکټ د سیاست نه لري وي۔ دا دہ مینے لوبہ دہ۔,Cricket should have no politics۔ It is game of love,Positive,Positive
452,,Mohammad Nabi has left for Karachi to play in the Pakistan Super League. #RTASport,. پنجابي تيل يې و هلى لاس يې نه ټينګوي لاس   ربه خير مو کړي پشتو ته خان لاهور ليدلى دى ملا جان,". Punjabi oil is not working, he is not holding his hand, goodbye to Pashto, Khan has seen Lahore, Mullah Jan",Negative,Negative
453,,,مہ ڈیر افسوس کڑی چہ دہ آفعان پلیر یوزل پی ایس ایل ولوبہ وی۔نن زما ارمون پورا شو  ڈیر خوخہ یم۔۔ دہ زڑہ تلا  مخمد نبی تہ سلام ویم,I am very sorry that this player is using PSL Vuluba V. Today I am looking forward to the full show. Best wishes from the core of my heart,Positive,Positive
454,,,نور باید له کرکت سه سیاست جور نه کرو او له مینه نفرت زکه یوازینی خوشحالی دافغانانو کریکت ده,We should no longer base our politics on cricket and the only happiness in hating love is Afghan cricket,Positive,Positive
455,,,ډير ښا خبر دى ډير ښا يې کړى دى چي پاکستان ته د لوبې کولو لپاره تللى دى مننه ورنه کوم خداى د يې بريالى لرى,"Very good news
He has done very well to  gone  Pakistan to play. Thank God he has won",Positive,Positive
456,,,شاهد افريدي او نور لوبغاړي ولي افغانستان ته نه راځي چې دا بي ننګه بي غيرته ورخطا شوي کرکټ بورډ او اصلي افغانانو لپاره د شرم ځای ده !!  که هر لوبغاړی لاړ شي هغه بيا د افغانستان ټيم ته وفادار نشي پاتې کېدای 💯,"Why don't Shahid Afridi and other players come to Afghanistan because it is a shame for the shameless cricket board and the real Afghans !! ""If any player leaves, he will not be able to remain loyal to the Afghan team.""",Negative,Negative
457,,,غلط کار یې کړی ....دا هم د وطن سره یو قِسم خیانت ده چي دښمن ته پیسې ګټې.,He has done wrong .... It is also a kind of betrayal of the homeland to gain money for the enemy.,Negative,Negative
458,,,د PSL ليګ به دا ځل زيات رنګين وي ځکه چى زموږ ستوري پکى هوم دى,The PSL will be more colorful this time around because our stars are at home,Positive,Positive
459,,,الله دی تل سرلوړی اوبریالی لری ښه خبره ده,"May Allah Almighty keep you high
    That's a good thing",Positive,Positive
460,,,ډير ډير بدي کړي دي د پاکستان په ليګ کې چي هر افغان لوبه وکړي د ده نه به لوي خاين بل نه وي له دي وروسته زه به د نبي عیسی خیل طرفدار نه يم,He has done a lot of bad things in the Pakistan League. Every Afghan who plays will be the biggest traitor. I will no longer be a supporter of Nabi Issa Khel.,Negative,Negative
461,,,پنجابیان زموژ د کرکت بورد سره انتحاری کوی چی کرکت لپاره خارجیان افغانستان ته رانشی بیا د وی پنجاب لپاره کرکت کوی او تروریست هیواد ته یو پاک هیواد په شکل  عزت ورکوی همدا پیسی به خلکو ورته چنده جمع کری وه خو دابیغرته کار به یی نه کاو,"Punjabis are committing with our cricket board so that foreigners do not come to Afghanistan for cricket, then they play cricket for Punjab and honor the terrorist country as a clean country.The same amount of money would have been collected by the people, but it would not have worked",Negative,Negative
462,,,وہ د نفرتونو ڈک قومہ اول دا سوچ اوکے چی افغانستان کرکٹ زدہ کڑی کم زے دی ٹولو افغانانو تہ حو کرکٹ ہم پاکستان ہودلی دے راشد او ستاسو ڈیرو لوبغاڑو پشاور او پنڈے کی کرکٹ کڑے دے," hateful nation. First of all, do you think that who had trainded the cricketer of  Afghanistan? All Afghans, let's play cricket in Pakistan, Rashid and other players in Peshawar and Pindy cricket ground.",Positive,Positive
463,,,"ډېر ښه کار یې وکړ،  موږ پاکستان سره د سپورټ په بخش کې هیڅ مشکل نه لرو که څه هم نورې اړیکې مو ور سره ښې نه دي ، سپورټ د ښاغلو او د مینې لوبه ده ، ان شاءالله دا ځل به د PSL ډېر رنګین وي ځکه چې د شل اوریزو لوبو بادشاهان پکې لوبیږي ،  رشید ، نبي ، مجیب او قیس احمد . ټولو اتلانو ته ښه بخت غواړم . ❤🇦🇫❤","Well done, we have no problem with Pakistan in the field of sports even though our other relations are not good with them, sport is a game of gentlemen and love, inshallah this time PSL will be more colorful because Rashid, Nabi, Mujeeb and Qais Ahmad are the kings of the Twenty20 Games. Good luck to all the heroes. ❤🇦🇫❤",Positive,Positive
464,,,ښه کار يې وکړ د برياليتوب په هېله یې⁦❤️⁩ له نفاق څخه هېڅ هم نه جوړيږي. ممکن د همدې اتلانو ورتګ دې لوبو ته د دواړو هېوادونو ترمنځ د ښو اړيکو پيلامه شي,"He did a good job, hoping for success. Nothing is made of hypocrisy. The arrival of these heroes may be the beginning of good relations between the two countries",Positive,Positive
465,,,نبی جان ته بریا او ګل خانان دی سوزی 😜 ګل خان تبا دوووو 😜 یو نصیحت می ومنه ګوره ګل خانانو سره صلفی وانخلی کنه ګنا لری 😜😜😜 دال سره ام ګوزاره وکړه دیر ونه خوری 😜🤪,"Success to Nabi Jan and Gul Khan feel jelousy خان Gul Khan Taba Dovu 😜 I accept a piece of advice, look, don't take salafi with Gul Khan, it is a sin ز Do not eat too much  Dal",Negative,Positive
466,,,دہ زل بہ دہ  پی ایس ایل خہ مزہ وی,this time PSL will be more colorful,Positive,Positive
467,,,ډیر بد یې کړی بلکی غول یې خوړلي چی دپیسو په خاطر خپل افغانی غرور ترپښو لاندی کوی دښمن ته باید همیشه ددښمن په سترګه وګتل شې که هغه په سیاست کی وی که په لوبو کي اویاهم که په مخامخ جګړه کی,"do it very bad, The enemy must always be regarded as the enemy, whether he is in politics, in sports, or in a face-to-face battle, for he has trampled on his Afghan pride for money.",Negative,Negative
468,,,مونږ افغانان په کراچى کى ورته ښه رغلاست ورته وايو ټولو لوبغاړو ته هرکلى کوه,We Afghans in Karachi welcome him and welcome all the players,Positive,Positive
469,,,ښه سفر ورته غوړی نبي جاننننننننننن,Have a good trip,Positive,Positive
470,,,بد یې کړئ پاکستان د افغان غټ اوښکاره دښمن دې دو د پاکستان په کټه لوبیږئ,"To make matters worse, Pakistan is the biggest and most obvious enemy of Afghanistan",Negative,Negative
471,,,پہ سرو سترگو رازئے تاسو زمنگ روڑنڑا یے مرحبا❤,"Welcom, You are our brothers",Positive,Positive
472,,,پخیر دی راشی موزہ ھم ورتہ انتیظار کوہ او سومرہ دی خوشھالی خبرہ دی ٹولو افغانون تہ چی نن داسی وخت راغی ملی زمریان دی پاکستان کی لوبی زی دیر دی خوشھالی خبرہ دہ زکہ داسی,"Welocom, we are waiting, this is very good news to all Afghan that oure heros go ro Pakistan for playing, this is very good",Positive,Positive
473,,,ڈیر خہ کار یی کڑی چی پاکستان تہ راغلی,He has done very well to com pakistan,Positive,Positive
474,,,پخیر راغلے یو جھان مننہ اول ٹولو مسلمانوں تہ او بیا ٹولو پختونوں تا خوشحال وسی,"Welcome to the world, first to all Muslims and then to all Pakhtuns.
Be happy",Positive,Positive
475,,,پخىرراشى خوش آمدىد هرکله راشى هلان مرحبآ,Welcome. Welcome anytime,Positive,Positive
476,,,زمونږ ټول افغانان دا يو بل چه وژنو دا هم دپيسو په خاطر نور بس دى دا راځى چه يو شو او خپل هيواد سمسوره کړو نور ولى مونږ نه پو هيږو دومره هو پو هيږو چه سم لاره کمه دا اوعلته,"All our Afghans are killing each other. It is enough for money. Let's unite and make our country green. Why don't we know? Yes, we know. Yes, we know.",Positive,Positive
477,,,پخېر دې لاړشې دا خائن,Goodbye traiter,Negative,Negative
478,,,خپل ملی ټیم ته خوی کمه توره ونکړه ,they don't give any benefits to its national team,Negative,Negative
479,,,زہ خو ویم چی دا کالی پہ کی ھم دہ نور کلہ پشان دا دہ ماجر زامن وانخلی سخت می بدی شی,"I said, this time too the refugee shoun't be select in any team, I dislike very much",Negative,Negative
480,,,پاکستان تہ پخیر راغلی💗 زار شم پختونوں ❤️ہر کلہ راشئی,"Welcom to Pakistan, I like you Pahkhtun, welcomes evey time",Positive,Positive
481,,,ڈیرزبردست کاریی کڑی دی دکرکٹ سہ جنگ مہ جوڑہ وی یارہ نوم بہ پردونیاولاڑسی دخوکیل دی دونایوزای بل زایی لہ زی,"they has done very well, don't consider it with quarel ",Positive,Positive
482,,,تاسی مور دی خاینانو غیم,"fuck your Mothers , traiters",Negative,Negative
483,,,رورہ پہ کرکٹ کے بغض او کينہ ساتل پکار نہ دی کرکٹ دہ مينے لوبہ دہ,"Brother, there should be not hatered and resentement in cricket, this is for love",Positive,Positive
484,,,د نبی لالا د بریا په هیله,may you success,Positive,Positive
485,,,خپل گران میلمہ تہ ہر کلے وایو خہ پہ درناوے,welcom to respected guest ,Positive,Positive
486,,,فکر کوم افغانان ډير بي غيرته شو دوشمان ته يي اخير سر ټيټ کړ هغه که سياسون دي او که لوبغاړي چاچي سر ورته نه ټيټه و هغه ککري خاوري شوله ډکټر صيب نجيب الله قهرمان هي وطنه څه بي ننګو خلکو ته پاتي شوي,"I wonder what Afghans have become so disrespectful. They have finally bowed their heads to the enemy. If they are politicians and if the players have not bowed their heads to their aunts, they have been reduced to dust. Dr. Saib Najibullah Qahraman",Negative,Negative
487,,,وينسی دی دچانه اجازه اخيستي ده زه یې خبر کړی نيم او دا روان دی دا منډي دجرابی په شان خوله دي وينم,"catch him, whose allowed this, fuck your mouth",Negative,Negative
488,,,زما اصل خو افغان دے خو يم پاکستانی خيبر دہ تلو راتلو لار دہ پہ کابل او پہ پشاور کر افغان يو دے,"My real identity is Afghan, but Pakistani is the way to Khyber, in Kabul and Peshawar is Afghan",Positive,Positive
489,,,د پاکستان په سوپر لیګ کې څو افغان لوبغاړي ګډون کوي؟,How many Afghan players are participating in Pakistan Super League?,Positive,Positive
490,,,خدای ج مې دي په لالا پسي خیر پیښ کړي,May God bless Lala,Positive,Positive
491,,,بالکل یې ښه کار کړی باید استقبال یې وشي...,Absolutely well done should be welcomed ...,Positive,Positive
492,,,بايد کرکټ د سیاست نه لري وي,Cricket should have no politics,Positive,Positive
493,,,دیرو خلکو ویلی چی افریدی یا نور لوبغاری ولی نه رازی وروره په هیواد کی سه حال ده او بیا پاکستان کی خو سوله شته هلته اکسره لوبغاری نه رازی که بیا رازی نو دافریقا لوبغاری  خو تول ۱۹ کلن لوبغاری راولیگل,"Many people have asked why Afridi or any other player does not agree. Brother, there is no peace in the Afghanistan and then there is littel peace in Pakistan. Stil they don’t send player, ther send under ninteen plyers .",Positive,Positive
494,,,کراچی راتلو تہ درلہ پخیر راغلے ✌️ وایوں 💙🏟️🇵🇰 ویلکم محمد نبی,Welcome to Karachi,Positive,Positive
495,,,"پخیر لاڔشے، ښه وځلیږے بریالی راشے زموږ اتله❤.","Good bye, May you seccess , May you returned successfully ",Positive,Positive
496,,,دنبي جان دښه ځليدو په هيله,Best wishes to Nabi Jaan,Positive,Positive
497,,,ډيربې عقل دي دابعضې داخويوسپورت دى هغه مرتدې اولعنتي څېرې چه خاوره يې خرڅه کړه اوملت يې دربدرکړو هغه ته ولې څه نه وايى ډيرمنافق انسانان يى شرم نه لرى فاجرو .,There is a lot of foolish in this. The apostates and cursed faces who sold the land and destroyed the nation are not allowed to do anything. Why don't they say something to him? Most hypocrites are not ashamed of it.,Negative,Negative
498,,,دروغ زه ایرپوټ کی یم  لا تراوسه ندی راروان شوی  سبا رازی,"Lie, I'm at the airport. they haven't arrived yet",Positive,Positive
499,,,ورتا تادی قران ووهی که به سمه لوبه کوی   تشقور,"Swear, You will not play well",Negative,Negative
500,,,ښه بخت او بريالۍ لوبي,"good luck, may you successs",Positive,Positive
501,,,گوری چی سوک مو مر نکری په پکستانیانو اعتبار نشته دوی هر سه کولی شی.,"take care of yourself, don't trust on Pakistani, they do anything",Negative,Negative
502,,,الله مو خه وځلوه,may you success,Positive,Positive
503,,,شه سفر محمدنبي جانه ته اتل دي,Good trip to Muhamman Nabii,Positive,Positive
504,,,را زا وراره ھر کله را شی,Welcom ever ytime ,Positive,Positive
505,,,ښه چانس ورته غواړم,best wishes,Positive,Positive
506,,,خدای دې طیاره یا موټر برې چپه کړي چې له دغه خاین څخه خو خلاص شو,"God destroy you in car or airplan, ",Negative,Negative
507,,,غوال خوري بدغمله مرتات لغنتي خرکوسه مرداګوا دپنجابي ګاټوته لپاره بايد افغانان لوبي وانه کړي کنه خلک به يي وارټي,"Nonsense, curse on you, You have gone for benificial for Punjabies, and you are not playing form Afghan",Negative,Negative
508,,,پخیر ورسیږی زما اتله,Good luck my hero,Positive,Positive
509,,,یوبل سرہ مینہ کوی دی نپرت داخبرو نہ ہیسم نہ جوڑیگی پاکستان نم زانداباد او افغانستان نم زنداباد,"Love with each other, No needs to hates, Pakistan Zindabad and Afghanistan zindabad",Positive,Positive
510,,,ډېر ښه الله ﷻ دې زمونږ ټول اتلان ښه وځلوي,May Allah make all our heroes shine,Positive,Positive
511,,,الله ج اباده اوسوكاله لري  تول لوبغالي,God bless you all of players,Positive,Positive
512,,,سلام عليكم ورحمة الله وبركاته,Assalam o Alaikum ,Positive,Positive
513,,,سم کار يې وکړ د افغانانو په لوبيدو سره به دpsl ليګ نور هم خوندور شي,He did the right thing. Playing Afghans will make the PSL league even more enjoyable,Positive,Positive
514,,,الله ج دي راوله اتله,May Allah return you,Positive,Positive
515,,,الله دوسا ته,May you safe ,Positive,Positive
516,,,د ښه ځلیدو په هیله یی,best wishes,Positive,Positive
517,,,پخير دى لاړ شى د ښه ځليدو په هيله,Good bye and best wishes,Positive,Positive
518,,,بیا هم تکړه ده طورخم نه منی 😁,"Still smart,
still  they does not accept Torkham",Negative,Negative
519,,,په مخه مو خه خه سفر در ته غواړو,Good bye and have a good trip,Positive,Positive
520,,,تل یی بریالی غواڑو,May you success forever,Positive,Positive
521,,,"غول خوری ، بد یے کڑی",Welcom,Negative,Negative
522,,,اللہ دی زموز وطن پاکستان تھ فھ خیر راورسوا,"Welcom to Pakistan, ",Positive,Positive
523,,,دیر علی په زره پوری زبردست,"very good, close to heart",Positive,Positive
524,,,محمد نبی ھر کلی درتہ وایم چی د PSL دپارہ پاکستان تہ راغلے۔۔۔ ژوندے دی وی افغان,"Welocome to Pakistan that you have come here, Muhammad Nabi",Positive,Positive
525,,,ژمونگہ لارہ ہرچاتہ خلاسہ دہ ورورہ شہ راغلاست درتہ وایم محمد نبی,"We welcom to everyone, welcom to Nabi",Positive,Positive
526,,,گرانہ پو حیر راشے   مونگ سترگے پو لار یو درتہ,"Dear welocme to You, we are waiting ",Positive,Positive
527,,,نبي جان لالا  ته  شه سفر غوا ڑم  تل دي زوندي أو قامياب وي,"Good trip to Muhamman Nabi, May you success and long live",Positive,Positive
528,,,د مرګ وږی دی.... که خدای پې .......😡,May you died,Negative,Negative
529,,,ماشاءاللہ ڈیر پہ زڑہ پورے عکس۔۔۔,"Masha Allah, very good picture",Positive,Positive
